[1111877653, '[1391, 1956, 40]', 'Outside Entrance', '44 23N', '123 7W', ['44', '23', 'N', '123', '7', 'W'], (4692, 1119)]
[1127540662, '[1391, 1959, 30]', 'Inside Trail Entry', '3 25N', '69 49W', ['3', '25', 'N', '69', '49', 'W'], (330, 1585)]
[1127540662, '[1391, 1959, 30]', 'Trail Ancient Wyrm', '3 15N', '73 15W', ['3', '15', 'N', '73', '15', 'W'], (281, 1587)]
[1127540662, '[1391, 1959, 30]', 'Trail City Ladder', '3 15N', '74 48W', ['3', '15', 'N', '74', '48', 'W'], (259, 1587)]
[1080224928, '[1391, 1959, 32]', 'Mansion Level 3', '10 6N', '20 15W', ['10', '6', 'N', '20', '15', 'W'], (1035, 1509)]
[1080224928, '[1391, 1959, 32]', 'MansionL4Teleporter', '10 1N', '19 11W', ['10', '1', 'N', '19', '11', 'W'], (1050, 1510)]
[1080224928, '[1391, 1959, 32]', 'Mansion L4', '10 16N', '17 55W', ['10', '16', 'N', '17', '55', 'W'], (1068, 1507)]
[1080224928, '[1391, 1959, 32]', 'MansionL4Safeish', '10 16N', '20 40W', ['10', '16', 'N', '20', '40', 'W'], (1029, 1507)]
[1080224928, '[1391, 1959, 32]', 'Wisp Dungeon IN', '9 3N', '48 52W', ['9', '3', 'N', '48', '52', 'W'], (628, 1521)]
[1080224928, '[1391, 1959, 32]', 'WispDungeon L1Mid', '7 44N', '46 28W', ['7', '44', 'N', '46', '28', 'W'], (662, 1536)]
[1080224928, '[1391, 1959, 32]', 'Wisp L1L2Landing', '11 36N', '42 28W', ['11', '36', 'N', '42', '28', 'W'], (719, 1492)]
[1080224928, '[1391, 1959, 32]', 'Wisp Dungeon L2', '6 19N', '34 31W', ['6', '19', 'N', '34', '31', 'W'], (832, 1552)]
[1080224928, '[1391, 1959, 32]', 'WispDungeonL2Mid', '7 59N', '32 58W', ['7', '59', 'N', '32', '58', 'W'], (854, 1533)]
[1080224928, '[1391, 1959, 32]', 'WispDungeonL2S', '6 51N', '30 9W', ['6', '51', 'N', '30', '9', 'W'], (894, 1546)]
[1080224928, '[1391, 1959, 32]', 'Wisp L2L3ALanding', '17 18N', '25 27W', ['17', '18', 'N', '25', '27', 'W'], (961, 1427)]
[1080224928, '[1391, 1959, 32]', 'Wisp Dungeon L3A', '13 32N', '27 4W', ['13', '32', 'N', '27', '4', 'W'], (938, 1470)]
[1080224928, '[1391, 1959, 32]', 'WispDungeonL3AS', '6 51N', '26 47W', ['6', '51', 'N', '26', '47', 'W'], (942, 1546)]
[1080224928, '[1391, 1959, 32]', 'Wisp L2L3BLanding', '16 36N', '32 3W', ['16', '36', 'N', '32', '3', 'W'], (867, 1435)]
[1080224928, '[1391, 1959, 32]', 'Wisp L2L3BLanding', '16 36N', '32 3W', ['16', '36', 'N', '32', '3', 'W'], (867, 1435)]
[1080213389, '[1391, 1959, 34]', 'Heartwood Trail IN', '2 54N', '69 53W', ['2', '54', 'N', '69', '53', 'W'], (329, 1591)]
[1080213389, '[1391, 1959, 34]', 'UpToHeartwoodCity', '3 15N', '74 48W', ['3', '15', 'N', '74', '48', 'W'], (259, 1587)]
[1080213389, '[1391, 1959, 34]', 'The Spring Mansion', '4 18N', '19 7W', ['4', '18', 'N', '19', '7', 'W'], (1051, 1575)]
[1080213389, '[1391, 1959, 34]', 'Mansion Safe', '7 59N', '16 18W', ['7', '59', 'N', '16', '18', 'W'], (1091, 1533)]
[1080213389, '[1391, 1959, 34]', 'Mansion Level 1', '8 5N', '19 32W', ['8', '5', 'N', '19', '32', 'W'], (1045, 1532)]
[1080213389, '[1391, 1959, 34]', 'Mansion Level 1', '8 5N', '19 32W', ['8', '5', 'N', '19', '32', 'W'], (1045, 1532)]
[1088772788, '[1391, 1960, 8]', 'Brown Bear 1', '96 3S', '4 34W', ['96', '3', 'S', '4', '34', 'W'], (1258, 2716)]
[1088772788, '[1391, 1960, 8]', 'Brown Bear 2', '127 47N', '94 25E', ['127', '47', 'N', '94', '25', 'E'], (2665, 170)]
[1088772788, '[1391, 1960, 8]', 'Brown Bear 3', '94 34N', '30 14W', ['94', '34', 'N', '30', '14', 'W'], (893, 548)]
[1088772788, '[1391, 1960, 8]', 'Brown Bear 4', '80 4N', '88 14E', ['80', '4', 'N', '88', '14', 'E'], (2577, 713)]
[1088772788, '[1391, 1960, 8]', 'Brown Bear 5', '92 6S', '12 47W', ['92', '6', 'S', '12', '47', 'W'], (1141, 2671)]
[1088772788, '[1391, 1960, 8]', 'Brown Bear 6', '82 5S', '24 36E', ['82', '5', 'S', '24', '36', 'E'], (1672, 2557)]
[1088772788, '[1391, 1960, 8]', 'Dagger Island', '92 48N', '166 13W', ['92', '48', 'N', '166', '13', 'W'], (4079, 568)]
[1088772788, '[1391, 1960, 8]', 'Cove 1', '54 34N', '81 12E', ['54', '34', 'N', '81', '12', 'E'], (2477, 1003)]
[1088772788, '[1391, 1960, 8]', 'Island of Fire', '179 54N', '135 29W', ['179', '54', 'N', '135', '29', 'W'], (4516, 3673)]
[1088772788, '[1391, 1960, 8]', 'Road to Cove', '53 31N', '93 39E', ['53', '31', 'N', '93', '39', 'E'], (2654, 1015)]
[1088772788, '[1391, 1960, 8]', 'E Skara Brae', '48 25S', '29 15W', ['48', '25', 'S', '29', '15', 'W'], (907, 2174)]
[1088772788, '[1391, 1960, 8]', 'S Brit', '24 4S', '6 2E', ['24', '4', 'S', '6', '2', 'E'], (1408, 1897)]
[1088772788, '[1391, 1960, 8]', 'S Brit', '31 48S', '9 33E', ['31', '48', 'S', '9', '33', 'E'], (1458, 1985)]
[1088772788, '[1391, 1960, 8]', 'S Destard', '94 23S', '9 50W', ['94', '23', 'S', '9', '50', 'W'], (1183, 2697)]
[1088772788, '[1391, 1960, 8]', 'S River', '43 46S', '13 8E', ['43', '46', 'S', '13', '8', 'E'], (1509, 2121)]
[1088772788, '[1391, 1960, 8]', 'S River', '43 46S', '13 8E', ['43', '46', 'S', '13', '8', 'E'], (1509, 2121)]
[1085609085, '[1391, 1960, 10]', 'Black Bear 1', '24 15S', '0 21W', ['24', '15', 'S', '0', '21', 'W'], (1318, 1899)]
